"MESS_DATUM";"QN_4";"TMK";"TXK";"TNK";"TGK";"UPM";"RSK";"RSKF";"SDK";"SHK_TAG";"NM";"VPM";"PM";"QN_3";"FX";"FM"
"1972-11-01";5;6.4;8.9;4.5;4.8;95;0.2;1;2.3;0;7.7;9.1;971.6;5;1;0.2
"1972-11-02";5;5.4;7;3.6;4.4;98;0.3;1;0;0;8;8.7;975.9;5;2.1;0.1
"1972-11-03";5;5;5.9;3.5;4.3;99;0.2;1;0;0;8;8.5;974.4;5;2.6;0.3
"1972-11-04";5;5.2;6.8;2.8;4;96;0.2;1;0;0;8;8.4;973.8;5;1.8;0.2
"1972-11-05";5;5.4;7.4;3.1;4.5;96;0.1;1;0.1;0;7.7;8.7;976.3;5;2;0.2
"1972-11-06";5;5.2;7;3.2;4.3;99;0.3;1;0;0;8;8.8;977.2;5;2.4;0.1
"1972-11-07";5;4.2;5.2;2.7;3.9;99;0.2;1;0;0;8;8.1;973.2;5;1.5;0.1
"1972-11-08";5;6.3;9;3.3;4.4;95;0;1;0.8;0;7.7;8.9;971.5;5;3.1;0.2
"1972-11-09";5;6.8;8;5.9;6;95;0;1;0;0;8;9.3;971.9;5;3;0.3
"1972-11-10";5;6.9;9.4;5.6;6;92;3.1;1;4.7;0;5.7;9.1;963.8;5;14.4;1.7
"1972-11-11";5;5.3;12.9;3;5.7;85;7.8;1;0.9;0;7;8.1;958.4;5;20.1;4.8
"1972-11-12";5;3.5;4.3;1.7;2.4;89;4.9;1;0;0;7.7;6.8;960.3;5;13.9;4.8
"1972-11-13";5;7.5;11;3.9;3.5;84;23.4;1;0;0;8;9.1;953.4;5;29.3;7.3
"1972-11-14";5;5.8;12.8;4;3.7;95;27.8;1;0;0;8;8.5;953.9;5;16.6;2
"1972-11-15";5;2.6;7.2;0.7;3.3;79;0.2;8;2.2;0;5.3;6;967.6;5;10.5;2
"1972-11-16";5;5.2;10.3;-0.1;-2;91;18.5;8;0;0;7.7;7.5;961.2;5;23.2;2.7
"1972-11-17";5;12.9;16.1;10.3;9.5;67;14.7;8;3.8;0;6.3;10;954.7;5;20.6;7.2
"1972-11-18";5;2;12.6;1.1;1.3;75;0.5;8;3.7;0;7;5.3;964.3;5;18.6;4.5
"1972-11-19";5;1.1;2.4;-0.9;-3;77;1.6;8;0.6;0;7.7;4.9;960.6;5;6.2;0.9
"1972-11-20";5;6.2;10.1;1.1;0.3;82;7.7;1;2.4;0;7.3;7.5;949.2;5;14.4;2.6
"1972-11-21";5;5.6;8.4;4.7;4.1;86;13.4;8;1.6;0;7.3;7.9;952.8;5;24.6;5
"1972-11-22";5;3.6;5.7;2.2;4.5;93;49.8;8;0;0;8;7.6;959.9;5;10.2;1.9
"1972-11-23";5;2;3;0.3;0.3;94;2.4;7;0;0;7.7;6.7;965.1;5;5.7;0.6
"1972-11-24";5;1.2;3.4;-0.2;-2.6;90;0.6;8;0.7;2;7;6;968.7;5;10.4;2.6
"1972-11-25";5;0.6;2.1;-0.2;-0.5;85;1.1;7;0;0;8;5.5;976.3;5;5.7;1.2
"1972-11-26";5;-0.9;1.9;-2;-2.2;82;0;0;2.3;0;3.7;4.8;978.8;5;4.1;0.6
"1972-11-27";5;-2.7;-0.7;-3.9;-4.3;85;0;0;0.5;0;6.7;4.3;981.4;5;3.9;0.6
"1972-11-28";5;-1.1;1.7;-4.2;-5.9;91;0;7;2.5;0;6.3;5.1;972.7;5;3.5;0.4
"1972-11-29";5;1.2;4;-2.4;-2.5;92;0;0;3.5;0;5.7;6.1;967.5;5;3.1;0.5
"1972-11-30";5;3.6;8.9;0.8;-0.6;82;1.8;1;5.9;0;5.3;6.5;955.6;5;3.7;0.5
"1972-12-01";5;4.2;5.3;2.6;0;96;2;1;0;0;8;7.9;960.7;5;2.7;0.1
"1972-12-02";5;2;4.9;1.9;2.4;100;0.4;1;0;0;8;7.1;958.4;5;3.1;0.3
"1972-12-03";5;2;2.8;0.9;1.3;97;0.3;1;0;0;7.7;6.8;959.8;5;6.7;0.7
"1972-12-04";5;4.9;6.2;1.8;0.2;94;0.6;1;0;0;7.3;8.1;966.2;5;4.5;0.4
"1972-12-05";5;5.6;8.6;3.9;4.1;79;0.2;1;4.8;0;4.3;7.5;972.2;5;13;2.6
"1972-12-06";5;3;8.2;0.1;-1.9;79;0;0;6;0;5.3;6;969.4;5;3.6;0.3
"1972-12-07";5;5.2;8.2;1.3;-0.3;86;5;1;1.9;0;6.7;7.3;962.2;5;10;1.5
"1972-12-08";5;5.8;6.9;5.2;4.3;91;5.3;8;0;0;7.7;8.4;961.2;5;6.1;0.9
"1972-12-09";5;2.3;5.6;0.7;0.4;92;3.1;8;0;0;8;6.5;968.8;5;7.6;1.6
"1972-12-10";5;0.9;3;0.4;-0.6;93;0;1;0;0;8;6.1;973.6;5;5.2;0.9
"1972-12-11";5;0.9;4;-1.3;-1.9;90;0;0;0.8;0;4.3;5.9;975.8;5;5.2;0.7
"1972-12-12";5;0.8;4.7;-2.3;-3.3;88;0;0;7.6;0;3.3;5.7;974.7;5;5.6;1.3
"1972-12-13";5;-1.7;0;-2.1;-2.1;98;0;1;0;0;8;5.3;978.6;5;3.1;0.5
"1972-12-14";5;-1.6;-1.2;-2;-1.6;95;0;0;0;0;8;5.2;979.2;5;3.6;0.3
"1972-12-15";5;-1.8;-1.1;-2.5;-2.3;92;0;0;0;0;8;4.9;976.6;5;3.5;0.5
"1972-12-16";5;-2.1;-1.4;-2.8;-2.5;95;0;0;0;0;8;5.1;977.9;5;4;0.5
"1972-12-17";5;-3.7;-2.2;-4.6;-4.1;91;0;0;0;0;7.7;4.3;977.2;5;3.4;0.8
"1972-12-18";5;-2.9;-1.9;-3.5;-3;89;0;0;0;0;8;4.4;978.2;5;5.7;0.7
"1972-12-19";5;-0.1;1.2;-3.3;-3.6;83;0;0;0;0;7.7;4.9;979.8;5;11;2.8
"1972-12-20";5;-0.3;1.4;-1.1;-1;80;0;0;0;0;7.3;4.8;979.5;5;8.5;3
"1972-12-21";5;-1.8;1;-2.8;-2.4;82;0;1;3.5;0;5;4.5;978.4;5;4.2;1
"1972-12-22";5;-3;-2.3;-3.4;-5.1;93;0;0;0;0;8;4.5;978;5;4.1;0.7
"1972-12-23";5;-3.6;-2.5;-4.1;-3.9;90;0;0;0;0;7.3;4.3;975.1;5;3.9;0.8
"1972-12-24";5;-4.2;-3.1;-5;-4.3;95;0;0;0;0;7.7;4.3;973.5;5;3.4;0.5
"1972-12-25";5;-3.1;-2.6;-4.3;-4;95;0;0;0;0;8;4.5;970.2;5;3.1;0.7
"1972-12-26";5;-3.8;-2.4;-5.2;-4.4;89;0;0;0;0;5;4.1;969.6;5;4;0.7
"1972-12-27";5;-2.9;-0.5;-5.9;-7.1;87;0;0;0.5;0;5.3;4.3;965.1;5;3.9;1.2
"1972-12-28";5;-1.4;1.1;-3.5;-5.5;91;0;0;0;0;5;5.1;963;5;3.7;1.2
"1972-12-29";5;-1.6;1.4;-2.7;-4.5;81;0;7;4.6;0;5.3;4.5;966;5;5.7;0.7
"1972-12-30";5;-2.2;2.1;-5.1;-7.3;68;0;0;8;0;0.7;3.5;972.8;5;3.8;1.2
"1972-12-31";5;-2.2;3;-5.7;-8.1;76;0;0;7.5;0;0.7;3.9;972.3;5;3.3;0.7
"1973-01-01";5;-2.5;0.3;-4.6;-6.6;83;0;0;2.3;0;4.7;4.3;970;5;4.6;1
"1973-01-02";5;-0.9;1.7;-4.5;-6;83;0;1;2.1;0;5;4.7;973.1;5;4.8;0.6
"1973-01-03";5;0;2.7;-1.2;-2.1;80;0;0;1.1;0;7;5.1;974.6;5;4.1;1.1
"1973-01-04";5;-0.1;2.4;-2.7;-5.6;83;0;7;0.8;0;5.7;5.1;977.1;5;9.1;2.1
"1973-01-05";5;0.2;1.9;-1.1;-2.5;84;0;0;1.4;0;5;5.2;978.7;5;10.5;4
"1973-01-06";5;-0.8;-0.3;-1.2;-1;84;0;0;0;0;8;4.8;979.9;5;10.5;3.3
"1973-01-07";5;-0.8;0;-1.7;-1.8;83;0;0;0;0;7.7;4.7;979.8;5;6.4;0.9
"1973-01-08";5;-1.9;-0.5;-2.1;-1.6;90;0;0;0;0;8;4.8;978.4;5;4.9;0.8
"1973-01-09";5;-1.9;-1.3;-3.4;-3;85;0;0;0;0;8;4.4;976.8;5;5;0.9
"1973-01-10";5;-1.6;-0.4;-3.5;-7;81;0;0;0;0;5.3;4.3;974.2;5;6;1.5
